key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,down,0.005,db,0.046582201,0.0008897,184.3906503,184.3906503,184.690856,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,down,0.005,db,0.046582201,0.0008699,186.7243723,186.7243723,187.024048,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,down,0.005,db,0.046555394,0.00085,189.0406402,189.0406402,189.3408831,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,down,0.005,db,0.046555394,0.000846,191.3739667,191.3739667,191.674152,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,down,0.005,db,0.046555394,0.0009024,193.7406525,193.7406525,194.0408615,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,down,0.005,db,0.046528602,0.0007995,196.0577649,196.0577649,196.3571884,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,down,0.005,db,0.046528602,0.0008256,198.3904553,198.3904553,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,down,0.005,db,0.046528602,0.0008818,200.6739715,200.6739715,200.9737908,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,down,0.005,db,0.046501826,0.0008036,202.9908811,202.9908811,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,down,0.005,db,0.046501826,0.0008025,205.2739947,205.2739947,,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,down,0.005,db,0.046501826,0.0008308,207.5575722,207.5575722,207.8573129,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,down,0.005,db,0.046475065,0.0009196,209.9075158,209.9075158,210.2074711,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,down,0.005,db,0.046475065,0.0008373,212.2574142,212.2574142,212.5575623,1,861341,1,01-09-2023,staircase task,2022.2.4,59.98605916
